Nome_Completo; Endereço; Cidade; Estado; UF; CEP; Telefone; Nascimento
Breno S Rodrigues; Rua Elmo Kiseski 431; Florianópolis; Santa Catarina; SC; 88036-040; (48) 7793-5470; 31/08/1954
Manuela S Rodrigues; Rua P 563; Porto Alegre; Rio Grande do Sul; RS; 91160-210; (51) 6672-8110; 12/01/1953
Marisa R Goncalves; Rua São Paulo 182; Almirante Tamandaré; Paraná; PR; 83503-190; (41) 9152-2230; 21/09/1938
Nicolas A Gomes; Servidão Jimmy Hendrix 1348; Joinville; Santa Catarina; SC; 89219-163; (47) 5323-2118; 07/05/1974
Tiago C Souza; Rua Alberto Werner 590; Itajaí; Santa Catarina; SC; 88303-161; (47) 6607-6160; 22/12/1943
Vitór C Castro; Rua Coronel Ricardo Machado 1724; Canoas; Rio Grande do Sul; RS; 92020-360; (51) 8619-9003; 17/10/1968
Sophia S Cunha; Rua Pitágoras 1829; Cascavel; Paraná; PR; 85814-385; (45) 5735-2792; 09/10/1946
Martim F Pinto; Recanto Jorge Enrique Taborda Neves 1968; Florianópolis; Santa Catarina; SC; 88058-311; (48) 8064-9893; 28/01/1985
Davi R Costa; Rua Hermann Buerger 1352; Blumenau; Santa Catarina; SC; 89060-370; (47) 7886-3765; 25/03/1982
Leonardo B Ferreira; Rua Quintão 1014; Gravataí; Rio Grande do Sul; RS; 94070-270; (51) 2266-6427; 24/01/1992
Bruna C Sousa; Rua General Hipólito Antônio Ribeiro 548; Pelotas; Rio Grande do Sul; RS; 96085-170; (53) 4653-8760; 01/09/1957
Kauã S Goncalves; Rua Giovani Bertassi 1300; Caxias do Sul; Rio Grande do Sul; RS; 95112-810; (54) 5277-9893; 15/03/1971
Letícia A Martins; Rua Attilio Alice 1168; Curitiba; Paraná; PR; 82600-310; (41) 2662-9873; 23/10/1959
Nicolash F Barbosa; Servidão Tico-Tico 1798; Florianópolis; Santa Catarina; SC; 88066-650; (48) 9337-6083; 14/11/1971
Maria S Castro; Rua João Ambrósio da Silva 126; São José; Santa Catarina; SC; 88111-550; (48) 3299-3122; 02/12/1955
Sofia M Costa; Rua Dona Jocelina 69; Viamão; Rio Grande do Sul; RS; 94415-330; (51) 8481-6704; 18/08/1948
Vinicius R Almeida; Rua Nápoles 913; Colombo; Paraná; PR; 83413-220; (41) 4199-2644; 29/10/1940
Luana A Cardoso; Rua Laércio Gama Durante 37; Ponta Grossa; Paraná; PR; 84051-690; (42) 2733-2313; 07/07/1935
Leonor F Rocha; Rua Karl Schollenberger 1133; Londrina; Paraná; PR; 86079-248; (43) 2567-3326; 20/02/1970
Rafael M Azevedo; Rua Agostinho Scolari 1144; Santa Maria; Rio Grande do Sul; RS; 97070-030; (55) 7333-5600; 01/07/1942
Alex C Sousa; Rodovia BR-467 1419; Toledo; Paraná; PR; 85907-060; (45) 3860-6893; 06/06/1936
Carolina A Rodrigues; Rua dos Economistas 1814; Guarapuava; Paraná; PR; 85064-140; (42) 9414-5729; 17/07/1943
Caio B Araujo; Rua CD - 011 1573; Brusque; Santa Catarina; SC; 88358-455; (47) 5677-5353; 07/11/1937
Melissa G Costa; Rua Humberto de Campos 1240; Pelotas; Rio Grande do Sul; RS; 96060-390; (53) 2213-6099; 21/07/1991
Larissa P Araujo; Avenida Mauá 503; Maringá; Paraná; PR; 87013-160; (44) 9185-5522; 26/05/1949
Cauã L Souza; Rua Rita de Cássia Viviane de Andrade 1614; Londrina; Paraná; PR; 86073-357; (43) 2255-5602; 30/03/1993
Vitoria G Gomes; Praça Anísio Figueiredo 1170; Londrina; Paraná; PR; 86062-585; (43) 5910-4579; 14/08/1959
Fernanda M Lima; Rua Célia Regina do Nascimento Goinski 1821; Piraquara; Paraná; PR; 83311-370; (41) 9894-7249; 06/04/1959
Vinicius M Silva; Rua Riachuelo 709; Cascavel; Paraná; PR; 85812-110; (45) 6428-7548; 29/09/1980
Alex D Araujo; Rua Ricardo Bandelow 1154; Joinville; Santa Catarina; SC; 89229-212; (47) 8114-2533; 29/07/1935
Rodrigo B Santos; Rua Loanda 1272; Curitiba; Paraná; PR; 81770-290; (41) 8186-9618; 10/11/1984
Luís M Souza; Travessa Caruaru 1789; Maringá; Paraná; PR; 87040-330; (44) 2474-3415; 16/11/1962
Vitór A Souza; Rua Senador Mathias Schroeder 624; Joinville; Santa Catarina; SC; 89218-570; (47) 9725-7457; 15/01/1971
Vitor C Ribeiro; Rua João Paternoster 1828; Caxias do Sul; Rio Grande do Sul; RS; 95099-260; (54) 7020-5231; 30/04/1954
Kauan C Pereira; Rua Francisco de Sá 1767; Foz do Iguaçu; Paraná; PR; 85869-525; (45) 3795-2121; 24/02/1955
Rafaela B Cunha; Rua Antônio Aparecido Esteves 202; Piraquara; Paraná; PR; 83301-059; (41) 9362-9242; 13/08/1973
Gabrielle C Azevedo; Rua Arnoldo Volles 650; Blumenau; Santa Catarina; SC; 89069-220; (47) 8698-8513; 26/09/1939
Bruna M Gomes; Servidão Damasco 1693; Florianópolis; Santa Catarina; SC; 88032-681; (48) 7127-6180; 16/08/1971
Erick C Goncalves; Rua Carlos Bauer 321; Blumenau; Santa Catarina; SC; 89095-550; (47) 7002-4859; 21/07/1978
Yasmin A Pereira; Avenida Ângelo Moreira da Fonseca 1197; Umuarama; Paraná; PR; 87506-370; (44) 3994-6684; 17/10/1994
André S Almeida; Avenida Criciúma 1867; Guarapuava; Paraná; PR; 85015-200; (42) 5163-6698; 20/04/1960
Livia B Santos; Rua G 1081; Campo Largo; Paraná; PR; 83609-630; (41) 6586-2287; 09/09/1988
Maria S Gomes; Rua Júlio Biss 986; Piraquara; Paraná; PR; 83305-330; (41) 9870-2770; 03/03/1982
Felipe C Santos; Rua Deputado Lauro Carneiro de Loyola 730; Joinville; Santa Catarina; SC; 89227-250; (47) 5065-3003; 27/10/1976
Daniel C Oliveira; Rua Japão 13; Blumenau; Santa Catarina; SC; 89041-065; (47) 5675-7090; 26/03/1949
Carlos C Barbosa; Rua Waldemiro da Silva 1211; São Leopoldo; Rio Grande do Sul; RS; 93130-250; (51) 3971-9437; 13/11/1954
Julian C Barbosa; Praça A 1775; Porto Alegre; Rio Grande do Sul; RS; 91170-281; (51) 5598-9824; 24/01/1996
Kauã M Melo; Rua Gaturamo-bandeira 856; Arapongas; Paraná; PR; 86703-290; (43) 4671-6210; 29/11/1988
Alice P Lima; Rua Otílio Dalçóquio 841; Itajaí; Santa Catarina; SC; 88311-560; (47) 3045-2004; 31/12/1965
Fábio C Alves; Rua Santin Peretti 248; Londrina; Paraná; PR; 86041-279; (43) 7561-3130; 29/03/1982
Evelyn C Silva; Rua Vereador Rogério da Silva 913; Palhoça; Santa Catarina; SC; 88135-730; (48) 4438-4074; 29/08/1988
Carlos F Barbosa; Travessa Ceretta 696; Cruz Alta; Rio Grande do Sul; RS; 98025-450; (55) 8371-2267; 17/06/1963
Laura C Azevedo; Rua Oswaldo Aranha 1859; Canoas; Rio Grande do Sul; RS; 92035-280; (51) 2502-6066; 28/07/1964
Daniel M Carvalho; Rua Yara 1077; Toledo; Paraná; PR; 85902-070; (45) 2839-4037; 15/10/1999
Vinícius R Dias; Rua Doutor José Serafim Antunes 1438; Lages; Santa Catarina; SC; 88523-310; (49) 7128-5115; 04/01/1949
Clara C Costa; Rua Felipe Camarão 985; Gravataí; Rio Grande do Sul; RS; 94175-010; (51) 5329-6292; 14/05/1986
Vitoria A Fernandes; Rua Misael Geraldino de Almeida 990; Joinville; Santa Catarina; SC; 89225-625; (47) 9595-8890; 07/12/1973
Beatrice R Pereira; Rua Brasílio Cuman 84; Curitiba; Paraná; PR; 82315-010; (41) 2907-2326; 23/06/1993
Igor C Pereira; Rua Guadalajara 1788; Blumenau; Santa Catarina; SC; 89020-080; (47) 5669-3380; 10/06/1997
Luana R Costa; Rua PF - 024 611; Brusque; Santa Catarina; SC; 88357-059; (47) 3402-5433; 19/07/1978
Kauã C Dias; Rua São Borja 623; Cruz Alta; Rio Grande do Sul; RS; 98040-000; (55) 5833-7428; 27/07/1993
Renan S Cardoso; Rua Monte Sinai 1143; Blumenau; Santa Catarina; SC; 89025-270; (47) 5219-6066; 11/06/1944
Samuel S Goncalves; Praça Max Sesselmeir 640; Curitiba; Paraná; PR; 82820-570; (41) 8447-5888; 25/05/1951
Ágatha F Castro; Travessa Maringá 1863; Chapecó; Santa Catarina; SC; 89806-530; (49) 4517-8344; 30/05/1983
Gustavo G Barbosa; Servidão da Jardineira 1765; Florianópolis; Santa Catarina; SC; 88052-628; (48) 7663-8379; 16/02/1995
Joao A Melo; Rua Fazenda Velha 351; Telêmaco Borba; Paraná; PR; 84267-120; (42) 5347-7394; 11/09/1960
Joao A Lima; Travessa Malu 751; Foz do Iguaçu; Paraná; PR; 85856-686; (45) 9710-6274; 16/03/1969
Alex S Pinto; Rua Arno Kappel 1628; Porto Alegre; Rio Grande do Sul; RS; 90245-100; (51) 5635-2039; 08/07/2000
Diogo S Martins; Rua Vereador Alcides Nascimento 781; Canoas; Rio Grande do Sul; RS; 92200-255; (51) 2948-8623; 02/01/1942
Yasmin B Pereira; Rua Miguel Couto 533; Maringá; Paraná; PR; 87015-510; (44) 3617-6661; 22/01/1986
Bruna R Correia; Rua Humberto José Soletti 880; Foz do Iguaçu; Paraná; PR; 85862-299; (45) 6208-9991; 24/05/1938
Nicolash A Souza; Rua Lino Luis Américo 1957; Criciúma; Santa Catarina; SC; 88815-527; (48) 4535-9080; 19/07/1983
Clara R Carvalho; Rua E-2 239; Arapongas; Paraná; PR; 86706-006; (43) 5372-6678; 16/01/1983
Estevan S Souza; Avenida São Pedro 876; Porto Alegre; Rio Grande do Sul; RS; 90230-123; (51) 8944-7042; 12/10/1982
Eduardo F Cunha; Rua Coimbra 1412; Florianópolis; Santa Catarina; SC; 88032-295; (48) 6639-6416; 11/11/1946
Erick S Oliveira; Rua Innocente Rebellato 1360; Curitiba; Paraná; PR; 81710-140; (41) 6099-5605; 26/09/1963
